timestamp,gpu_name,driver_version,temperature,power_draw,gpu_utilization,memory_utilization,memory_used,memory_total
2025/03/25 09:37:08.898,Tesla P100-PCIE-16GB,560.35.03,28,180.51 W,92 %,30 %,1081 MiB,"16384 MiB
2025/03/25 09:37:08.903",Tesla P100-PCIE-16GB,560.35.03,25,25.20 W,0 %,0 %,3 MiB,16384 MiB
2025/03/25 09:38:09.013,Tesla P100-PCIE-16GB,560.35.03,26,30.89 W,0 %,0 %,1081 MiB,"16384 MiB
2025/03/25 09:38:09.018",Tesla P100-PCIE-16GB,560.35.03,25,25.28 W,0 %,0 %,3 MiB,16384 MiB
2025/03/25 09:39:09.125,Tesla P100-PCIE-16GB,560.35.03,24,30.65 W,0 %,0 %,1081 MiB,"16384 MiB
2025/03/25 09:39:09.128",Tesla P100-PCIE-16GB,560.35.03,25,25.26 W,0 %,0 %,3 MiB,16384 MiB
